genus,bodysite,family_score,Phylum,dmi,bootstrap_mean,bootstrap_sd,trimmed
Unclassified_Propionibacteriaceae,Skin,0,Actinobacteria,0.38,0.366801808,0.028509957,yes
Unclassified_Rhizobiales,Skin,0,Proteobacteria,0.04,0.038432376,0.008878857,yes
Unclassified_Rhodobacteraceae,Skin,0,Proteobacteria,0.12,0.14805219,0.017004446,yes
Unclassified_Rhodospirillales,Skin,0,Proteobacteria,0.04,0.067705277,0.031582111,yes
Unclassified_Ruminococcaceae,Skin,0,Firmicutes,0.17,0.166987141,0.021627965,yes
Unclassified_Streptophyta,Skin,1,Other,0.03,0.027332875,0.003124309,yes
Unclassified_Weeksellaceae,Skin,0,Bacteroidetes,0.07,0.074664935,0.009934653,yes
Unclassified_Xanthomonadaceae,Skin,1,Proteobacteria,0.21,0.235037805,0.029871444,yes
Unclassified_Yersiniaceae,Skin,0.22,Proteobacteria,0.22,0.159032745,0.032349692,yes
Veillonella,Skin,0.07,Firmicutes,0.09,0.091829306,0.002919591,no
Xanthomonas,Skin,0.95,Proteobacteria,0.07,0.065639224,0.011987237,yes
Abiotrophia,Oral,1,Firmicutes,0.03,0.030089775,0.003100352,yes
Actinomyces,Oral,0.28,Actinobacteria,0.12,0.120059268,0.002809173,no
Aggregatibacter,Oral,1,Proteobacteria,0.09,0.091587426,0.002829061,no
Anaeroglobus,Oral,1,Firmicutes,0.23,0.235458228,0.02164546,yes
Anaerosinus,Oral,0.84,Firmicutes,0.05,0.04474418,0.005830825,yes
Arachnia,Oral,1,Actinobacteria,0.19,0.200269805,0.020952682,yes
Butyrivibrio,Oral,0.58,Firmicutes,0.13,0.129466278,0.00320098,no
Capnocytophaga,Oral,0.18,Bacteroidetes,0.17,0.175962137,0.001971144,no
Catonella,Oral,0.34,Firmicutes,0.14,0.1415054,0.002070625,no
Corynebacterium,Oral,0.07,Actinobacteria,0.14,0.139681487,0.003052148,no
Dialister,Oral,0.37,Firmicutes,0.11,0.117003393,0.006678576,no
Eikenella,Oral,0.85,Proteobacteria,0.27,0.268271518,0.003705666,no
Fusobacterium,Oral,0.38,Other,0.05,0.044873369,0.00257836,no
Gemella,Oral,0.51,Firmicutes,0.08,0.076645788,0.002503384,no
Kingella,Oral,0.26,Proteobacteria,0.11,0.111048827,0.004166179,no
Lachnoanaerobaculum,Oral,0.5,Firmicutes,0.17,0.170930097,0.002860104,no
Lancefieldella,Oral,0.18,Actinobacteria,0.14,0.136548021,0.00206275,no
Lautropia,Oral,0.06,Proteobacteria,0.08,0.079302729,0.003290487,no
Leptotrichia,Oral,0.24,Other,0.2,0.195949784,0.00194393,no
Oribacterium,Oral,0.38,Firmicutes,0.17,0.16854298,0.001955139,no
Parvimonas,Oral,0.03,Firmicutes,0.18,0.177194076,0.003504248,no
Porphyromonas,Oral,0.59,Bacteroidetes,0.14,0.139615777,0.002134095,no
Prevotella,Oral,0.08,Bacteroidetes,0.19,0.194857792,0.001615738,no
Rothia,Oral,0.77,Actinobacteria,0.2,0.195323163,0.002692184,no
Selenomonas,Oral,0.27,Firmicutes,0.19,0.184684887,0.001958986,no
Stomatobaculum,Oral,0.34,Firmicutes,0.18,0.18426373,0.003406538,no
