"","KitID","SampleID","Date","Barcodes","SampleType"
"2546","UBMkid982128028","70-1008-1015","2/5/14","NA0011525163","Skin"
"2547","UBMkid982128040","69-036-09","10/13/15","NA0010630086","Skin"
"2548","UBMkid982128715","69-053-3012","2/2/17","NA0008898620","Skin"
"2549","UBMkid982128764","70-1001-16","3/17/17","NA0008898612","Skin"
"2550","UBMkid982128987","69-010-06","2/17/16","NA0011470389","Skin"
"2551","UBMkid983104788","69-031-04","8/7/14","NA0009404811","Mouth"
"2552","UBMkid983105280","69-099-02","6/15/16","NA0010623027","Mouth"
"2553","UBMkid983127827","69-037-2015","12/1/14","NA0008933004","Skin"
"2554","UBMkid983128793","1636-69-046-10","2/28/17","NA0008898408","Skin"
"2555","UBMkid983129431","69-099-02","6/15/16","NA0008949677","Skin"
"2556","UBMkid984128136","69-053-2023","10/2/15","NA0008899189","Skin"
"2557","UBMkid984128831","69-053-2031","5/17/17","NA0008898608","Skin"
"2558","UBMkid985128965","70-1005-6012","4/26/16","NA0008898274","Skin"
"2559","UBMkid986105653","69-026-2023","5/7/15","NA0008363580","Mouth"
"2560","UBMkid986107515","69-031-1013","4/9/14","NA0008332858","Mouth"
"2561","UBMkid986128615","69-111-05","2/15/17","NA0008898621","Skin"
"2562","UBMkid986128706","70-1008-6024","4/11/17","NA0008898596","Skin"
"2563","UBMkid986128887","sa1_p","3/27/18","NA0008898264","Skin"
"2564","UBMkid987128845","69-001-7024","3/10/16","NA0008898276","Skin"
"2565","UBMkid987129163","70-1010-12","9/1/16","NA0008948950","Skin"
"2566","UBMkid987129282","70-1012-13","8/16/16","NA0008948942","Skin"
"2567","UBMkid988105683","70-1012-06","8/4/14","NA0008363583","Mouth"
"2568","UBMkid988107478","69-037-1021","7/22/14","NA0008332864","Mouth"
"2569","UBMkid988128592","70-1010-6031","1/24/17","NA0008898586","Skin"
"2570","UBMkid989104969","69-001-62","7/11/13","NA0008343213","Mouth"
"2571","UBMkid989105544","69-056-04","7/1/15","NA0008363598","Mouth"
